Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
334.045,119.741,453.135,µm,Spot,Position,1,363
348.799,111.139,459.275,µm,Spot,Position,1,364
322.943,128.613,462.426,µm,Spot,Position,1,365
337.503,119.768,469.209,µm,Spot,Position,1,366
634.229,108.412,432.969,µm,Spot,Position,1,367
632.272,111.662,459.375,µm,Spot,Position,1,368
637.544,118.913,471.119,µm,Spot,Position,1,369
681.212,163.416,410.419,µm,Spot,Position,1,370
673.647,148.233,412.949,µm,Spot,Position,1,371
664.382,135.701,414.573,µm,Spot,Position,1,372
653.089,123.964,416.545,µm,Spot,Position,1,373
640.419,112.779,418.275,µm,Spot,Position,1,374
687.772,170.318,420.232,µm,Spot,Position,1,375
680.61,155.166,423.544,µm,Spot,Position,1,376
670.643,141.115,426.679,µm,Spot,Position,1,377
659.57,128.93,429,µm,Spot,Position,1,378
646.973,118.201,431.283,µm,Spot,Position,1,379
686.354,162.693,434.434,µm,Spot,Position,1,380
676.764,148.327,437.951,µm,Spot,Position,1,381
666.016,136.303,441.01,µm,Spot,Position,1,382
653.096,124.406,443.392,µm,Spot,Position,1,383
691.773,170.795,444.558,µm,Spot,Position,1,384
639.951,114.281,445.465,µm,Spot,Position,1,385
682.648,156.456,448.642,µm,Spot,Position,1,386
671.523,143.514,452.125,µm,Spot,Position,1,387
659.415,132.01,455.056,µm,Spot,Position,1,388
646.427,121.462,457.592,µm,Spot,Position,1,389
687.821,165.62,458.509,µm,Spot,Position,1,390
677.134,152.738,462.285,µm,Spot,Position,1,391
664.923,140.565,465.744,µm,Spot,Position,1,392
651.916,129.342,468.551,µm,Spot,Position,1,393
682.369,162.338,472.11,µm,Spot,Position,1,394
250.487,212.321,424.374,µm,Spot,Position,1,395
247.217,209.643,437.752,µm,Spot,Position,1,396
241.107,223.152,440.597,µm,Spot,Position,1,397
234.222,235.743,448.423,µm,Spot,Position,1,398
246.233,207.82,452.944,µm,Spot,Position,1,399
238.593,221.533,457.859,µm,Spot,Position,1,400
231.338,235.931,462.543,µm,Spot,Position,1,401
246.423,207.484,468.145,µm,Spot,Position,1,402
267.954,190.036,408.549,µm,Spot,Position,1,403
258.752,201.006,415.869,µm,Spot,Position,1,404
273.992,175.526,416.396,µm,Spot,Position,1,405
264.928,185.939,423.97,µm,Spot,Position,1,406
255.592,197.078,431.457,µm,Spot,Position,1,407
273.75,172.344,432.207,µm,Spot,Position,1,408
263.819,183.489,439.419,µm,Spot,Position,1,409
254.927,195.287,446.919,µm,Spot,Position,1,410
264.76,181.971,455.307,µm,Spot,Position,1,411
255.4,194.112,462.223,µm,Spot,Position,1,412
266.045,181.932,470.776,µm,Spot,Position,1,413
693.393,178.441,430.568,µm,Spot,Position,1,414
698.136,186.611,439.48,µm,Spot,Position,1,415
702.632,196.417,449.029,µm,Spot,Position,1,416
696.871,180.263,453.867,µm,Spot,Position,1,417
700.759,190.015,463.18,µm,Spot,Position,1,418
692.67,175.686,467.801,µm,Spot,Position,1,419
704.172,201.676,471.85,µm,Spot,Position,1,420
705.535,206.117,458.741,µm,Spot,Position,1,421
227,248.794,467.205,µm,Spot,Position,1,422
773.062,744.858,463.728,µm,Spot,Position,1,423
772.457,734.188,472.932,µm,Spot,Position,1,424
750.003,816.705,410.595,µm,Spot,Position,1,425
759.781,792.98,417.7,µm,Spot,Position,1,426
755.63,809.927,421.473,µm,Spot,Position,1,427
766.13,772.617,427.65,µm,Spot,Position,1,428
764.496,786.328,428.522,µm,Spot,Position,1,429
760.534,802.298,432.528,µm,Spot,Position,1,430
753.601,817.618,435.718,µm,Spot,Position,1,431
768.864,778.716,440.389,µm,Spot,Position,1,432
764.39,793.918,443.7,µm,Spot,Position,1,433
757.859,809.529,446.861,µm,Spot,Position,1,434
767.547,784.338,454.175,µm,Spot,Position,1,435
761.202,799.91,457.738,µm,Spot,Position,1,436
753.296,814.545,460.596,µm,Spot,Position,1,437
763.976,790.066,467.787,µm,Spot,Position,1,438
756.177,804.678,471.153,µm,Spot,Position,1,439
769.257,762.831,437.923,µm,Spot,Position,1,440
771.295,767.691,449.797,µm,Spot,Position,1,441
772.263,755.906,456.271,µm,Spot,Position,1,442
769.973,773.681,463.371,µm,Spot,Position,1,443
771.596,761.834,470.803,µm,Spot,Position,1,444
314.908,844.634,450.209,µm,Spot,Position,1,445
306.094,831.795,454.259,µm,Spot,Position,1,446
315.183,846.136,465.601,µm,Spot,Position,1,447
304.981,833.481,469.22,µm,Spot,Position,1,448
361.558,881.159,409.957,µm,Spot,Position,1,449
340.756,860.504,411.471,µm,Spot,Position,1,450
349.926,873.47,417.896,µm,Spot,Position,1,451
337.678,863.627,424.626,µm,Spot,Position,1,452
361.004,884.177,425.317,µm,Spot,Position,1,453
327.307,852.854,428.478,µm,Spot,Position,1,454
348.913,875.883,432.809,µm,Spot,Position,1,455
317.122,842.793,436.159,µm,Spot,Position,1,456
336.964,866.592,439.673,µm,Spot,Position,1,457
325.411,855.943,444.79,µm,Spot,Position,1,458
349.499,877.985,448.003,µm,Spot,Position,1,459
337.165,868.26,454.798,µm,Spot,Position,1,460
325.982,857.716,460.456,µm,Spot,Position,1,461
350.64,878.184,463.432,µm,Spot,Position,1,462
338.7,868,470.081,µm,Spot,Position,1,463
700.722,881.93,418.72,µm,Spot,Position,1,464
698.921,881.257,445.713,µm,Spot,Position,1,465
704.065,874.267,458.139,µm,Spot,Position,1,466
694.563,877.607,471.731,µm,Spot,Position,1,467
743.135,831.17,412.067,µm,Spot,Position,1,468
734.208,844.802,413.772,µm,Spot,Position,1,469
724.068,858.194,415.595,µm,Spot,Position,1,470
712.922,870.578,417.353,µm,Spot,Position,1,471
748.426,825.191,424.14,µm,Spot,Position,1,472
739.4,839.272,426.247,µm,Spot,Position,1,473
730.201,851.975,428.104,µm,Spot,Position,1,474
718.73,864.488,430.072,µm,Spot,Position,1,475
706.199,876.95,431.541,µm,Spot,Position,1,476
744.178,831.923,438.195,µm,Spot,Position,1,477
734.75,845.058,440.532,µm,Spot,Position,1,478
724.175,858.09,442.293,µm,Spot,Position,1,479
712.048,870.128,444.165,µm,Spot,Position,1,480
748.707,824.223,449.766,µm,Spot,Position,1,481
739.33,837.546,452.259,µm,Spot,Position,1,482
728.63,851.013,454.563,µm,Spot,Position,1,483
716.667,862.604,456.426,µm,Spot,Position,1,484
743.479,828.782,463.713,µm,Spot,Position,1,485
732.778,842.064,465.836,µm,Spot,Position,1,486
721.165,854.809,468.388,µm,Spot,Position,1,487
708.354,866.977,470.478,µm,Spot,Position,1,488
374.071,891.67,417.254,µm,Spot,Position,1,489
374.357,893.804,432.712,µm,Spot,Position,1,490
361.662,886.262,440.831,µm,Spot,Position,1,491
375.705,895.47,448.284,µm,Spot,Position,1,492
363.328,887.462,456.322,µm,Spot,Position,1,493
378.668,896.01,464.075,µm,Spot,Position,1,494
365.783,887.099,471.542,µm,Spot,Position,1,495
385.909,897.213,408,µm,Spot,Position,1,496
425.144,917.642,411.169,µm,Spot,Position,1,497
398.681,905.263,414.707,µm,Spot,Position,1,498
440.134,923.634,417.37,µm,Spot,Position,1,499
412.836,913.334,420.904,µm,Spot,Position,1,500
386.556,900.154,423.88,µm,Spot,Position,1,501
428.047,920.255,427.415,µm,Spot,Position,1,502
400.818,908.472,430.488,µm,Spot,Position,1,503
444.209,926.023,433.59,µm,Spot,Position,1,504
415.335,915.593,437.207,µm,Spot,Position,1,505
388.185,902.33,439.704,µm,Spot,Position,1,506
431.375,921.675,443.596,µm,Spot,Position,1,507
403.539,910.036,446.429,µm,Spot,Position,1,508
418.871,916.446,453.074,µm,Spot,Position,1,509
390.919,903.349,455.505,µm,Spot,Position,1,510
435.164,921.869,459.707,µm,Spot,Position,1,511
406.671,910.188,462.414,µm,Spot,Position,1,512
422.57,915.686,469.105,µm,Spot,Position,1,513
394.378,902.916,471.169,µm,Spot,Position,1,514
467.916,931.775,412.483,µm,Spot,Position,1,515
484.784,936.413,417.965,µm,Spot,Position,1,516
501.411,939.607,422.771,µm,Spot,Position,1,517
456.148,929.324,423.27,µm,Spot,Position,1,518
472.102,934.002,428.523,µm,Spot,Position,1,519
489.264,937.541,433.795,µm,Spot,Position,1,520
460.059,930.821,439.016,µm,Spot,Position,1,521
506.342,940.106,438.626,µm,Spot,Position,1,522
476.753,934.995,444.588,µm,Spot,Position,1,523
447.617,926.812,449.49,µm,Spot,Position,1,524
